Library(*),Subject(*),Book Name(*),Sub Title,Accession Number,User Defined Accession No.,Edition No.,Year of Publication,Book Type(*),Author,Publisher,Shelf-Rack,Purchasing Price,Purchasing Date,Page,Editor,Series,Collection No.,Class No.,Volume,Bill Date,Bill No.,Remarks,Keywords,Keywords,Keywords,Keywords,Language,Vendor,ISBN,DDC,Spine Author,,,,,,,,,,,,,
Main Library,English,XYZ,XYZ,1234*,1234,2nd,1994,Book,Demo Author,Demo Publisher,A-1,150,01-04-2004,450,XYZ Editor,3,14555,10,4,01-04-2020,12344,Demo Remark,Demo Keyword,Demo Keyword,Demo Keyword,Demo Keyword,English,XYZ Vendor,12445344855422,8H3,DEM,,,,,,,,,,,,,
Primary School Library,English Language Reader,Games we like,,J0001,,,2009,,"Murray, W.",LADYBIRD BOOKS,,99,13-08-2024 09:43,51,,Keywords with Peter and Jane,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9781409301486-,428.6 LAD/ GAM,,428.6MU/K/G,,,,,,,,,,,,
Primary School Library,Modern English Fiction ,The zombie apocalypse,the ladybird books for grownups series,J0002,,,1964,Book,"Hazeley, J.A.",LADYBIRD BOOKS,,299,13-08-2024 09:48,52,,,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9780718184452-,823.92 LAD/ZOM,,823.92HA/ZO,,,,,,,,,,,,
Primary School Library,Folk Lore and Fairy Tales,Jack and the beanstalk,,J0003,,,,Book,"Southgate, Vera",LADYBIRD BOOKS,,199,13-08-2024 09:50,42,,,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9781409311102-,398.2 LAD/JAC,,398.2SO/L/J,,,,,,,,,,,,
Primary School Library,English Language Reader,Mountain Adventure,,J0004,,,,Book,"Murray, W.",LADYBIRD BOOKS,,99,13-08-2024 09:52,50,,Keywords with Peter and Jane:,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9781409301417-,428.6 LAD/ MOU,,428.6MU/K/M,,,,,,,,,,,,
Primary School Library,English Language Reader,Reading with sounds-6c,,J0005,,,,,"Murray, W.",LADYBIRD BOOKS,,,25-09-2024 09:23,51,,Keywords with Peter and Jane,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9781409301257-,428.6 LAD/ REA,,428.6MU/K/R,,,,,,,,,,,,
Primary School Library,Folk Lore and Fairy Tales,The little red hen,,J0006,,,1993,Book,"Holmes, Stephen",LADYBIRD BOOKS,,99,25-09-2024 09:26,25,,Favourite tales,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9780721415635-,398.2 LAD/ LIT,,398.2HO/F/L,,,,,,,,,,,,
Primary School Library,English Language Reader,Adventure at the castle-10b,,J0007,,,,Book,"Murray, W.",LADYBIRD BOOKS,,99,25-09-2024 09:30,50,,Keywords with Peter and Jane,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9781409301479-,428.6 LAD/ ADV,,428.6MU/K/A,,,,,,,,,,,,
Primary School Library,Folk Lore and Fairy Tales,The tale of the Jemima puddle - Duck ,,J0008,,,2013,Book,"Potter, Beatrix",LADYBIRD BOOKS,,99,25-09-2024 09:33,31,,Read it yourself with ladybird,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9780723273424-,398.2 LAD/ TAL,,398.2PO/R/T,,,,,,,,,,,,
Primary School Library,Folk Lore and Fairy Tales,the enormous turnip,,J0009,,,,Book,"Southgate, Vera",LADYBIRD BOOKS,,99,25-09-2024 09:36,42,,Ladybird tales,,,,16/11/2022,GWG/21403,,,,,,ENGLISH,Hema Book World,-9781409314264-,398.2 LAD/ ENO,,398.2SO/L/E,,,,,,,,,,,,
